bet_id,user_id,game,bet_ts,stake_usd,outcome,payout_usd,bonus_used,ip,device_id
1,1,coinflip,2025-03-19T03:31:00,22.6,lose,0.0,0,192.168.4.67,dev15
2,1,roulette,2025-03-24T05:18:00,8.93,win,168.47,0,192.168.3.202,dev15
3,1,crash,2025-03-23T03:40:00,0.84,lose,0.0,1,192.168.5.23,dev15
4,1,crash,2025-03-15T20:01:00,0.46,win,5.33,0,192.168.5.60,dev15
5,1,coinflip,2025-03-17T04:34:00,21.51,lose,0.0,0,192.168.4.84,dev15
6,1,crash,2025-03-21T04:55:00,10.21,win,102.8,0,192.168.2.149,dev15
7,1,crash,2025-03-02T04:21:00,11.54,win,58.21,0,192.168.5.212,dev15
8,1,roulette,2025-03-27T04:46:00,0.54,lose,0.0,0,192.168.1.84,dev15
9,1,roulette,2025-02-28T08:46:00,0.59,win,5.08,1,192.168.2.188,dev15
10,1,roulette,2025-03-07T13:17:00,0.21,win,1.12,0,192.168.0.4,dev15
11,1,roulette,2025-03-13T13:44:00,5.96,win,11.38,0,192.168.5.104,dev15
12,1,crash,2025-02-16T23:15:00,10.3,lose,0.0,0,192.168.1.171,dev15
13,1,roulette,2025-03-25T07:43:00,8.5,win,53.6,0,192.168.3.63,dev15
14,1,coinflip,2025-03-13T22:45:00,0.45,win,4.46,0,192.168.3.133,dev15
15,1,roulette,2025-02-27T20:20:00,2.27,lose,0.0,0,192.168.2.140,dev15
16,1,roulette,2025-03-01T05:45:00,4.7,lose,0.0,0,192.168.1.184,dev15
17,1,coinflip,2025-03-18T16:01:00,22.63,lose,0.0,0,192.168.3.54,dev15
18,1,roulette,2025-02-27T12:32:00,11.94,win,30.42,0,192.168.3.16,dev15
19,1,crash,2025-02-16T02:26:00,10.79,win,69.11,0,192.168.5.103,dev15
20,1,crash,2025-03-21T07:51:00,1.77,win,28.09,1,192.168.5.50,dev15
21,1,coinflip,2025-03-18T20:35:00,0.56,win,7.74,1,192.168.3.120,dev15
22,1,roulette,2025-03-06T17:41:00,22.67,win,390.77,0,192.168.3.176,dev15
23,2,crash,2025-02-28T21:11:00,0.22,lose,0.0,0,192.168.5.78,dev5
24,2,crash,2025-02-21T15:31:00,5.27,lose,0.0,0,192.168.2.219,dev5
25,2,coinflip,2025-02-25T01:05:00,1.11,win,18.74,0,192.168.0.169,dev5
26,2,coinflip,2025-02-01T06:04:00,0.9,win,3.73,0,192.168.3.89,dev5
27,2,crash,2025-02-10T06:57:00,20.28,lose,0.0,0,192.168.0.172,dev5
28,2,crash,2025-03-08T20:53:00,0.5,win,1.48,1,192.168.5.226,dev5
29,2,crash,2025-02-08T17:07:00,1.79,win,19.01,0,192.168.3.232,dev5
